date,feature_index,NO2
2026-04-22T00:00:00.000Z,0,
2026-04-18T00:00:00.000Z,0,3.7115521990926936E-5
2026-04-17T00:00:00.000Z,0,2.2887954401085153E-5
2026-04-24T00:00:00.000Z,0,1.149929168775543E-5
2026-04-23T00:00:00.000Z,0,4.3340620929181267E-7
2026-02-04T00:00:00.000Z,0,
2026-02-05T00:00:00.000Z,0,3.557032050593989E-5
2026-02-11T00:00:00.000Z,0,
2026-02-06T00:00:00.000Z,0,2.8916157589264913E-5
2026-02-09T00:00:00.000Z,0,
2026-02-07T00:00:00.000Z,0,
2026-02-08T00:00:00.000Z,0,
2026-02-10T00:00:00.000Z,0,
2026-03-08T00:00:00.000Z,0,2.1875958736927714E-5
2026-03-09T00:00:00.000Z,0,
2026-03-12T00:00:00.000Z,0,
2026-03-10T00:00:00.000Z,0,
2026-03-13T00:00:00.000Z,0,3.6564164474839345E-5
2026-03-15T00:00:00.000Z,0,
2026-03-11T00:00:00.000Z,0,
2026-03-14T00:00:00.000Z,0,3.6993978937971406E-5
2026-03-19T00:00:00.000Z,0,2.9374985994460683E-5
2026-03-16T00:00:00.000Z,0,4.5495902668335475E-5
2026-03-21T00:00:00.000Z,0,2.7875955614338938E-5
2026-03-22T00:00:00.000Z,0,
2026-03-23T00:00:00.000Z,0,3.420095890760422E-5
2026-03-20T00:00:00.000Z,0,
2026-03-17T00:00:00.000Z,0,
2026-03-18T00:00:00.000Z,0,
2026-07-28T00:00:00.000Z,0,2.8467499305406818E-5
2026-07-24T00:00:00.000Z,0,3.6660421756096184E-5
2026-07-25T00:00:00.000Z,0,4.138077156312647E-5
2026-07-26T00:00:00.000Z,0,1.6015494566090638E-5
2026-07-22T00:00:00.000Z,0,3.9083603041945025E-5
2026-07-29T00:00:00.000Z,0,2.639722151798196E-5
2026-07-23T00:00:00.000Z,0,
2026-07-27T00:00:00.000Z,0,
2026-06-13T00:00:00.000Z,0,2.29409387202395E-5
2026-06-16T00:00:00.000Z,0,2.4558706172683742E-5
2026-06-15T00:00:00.000Z,0,4.0404860556009226E-5
2026-06-19T00:00:00.000Z,0,3.9300232856476214E-5
2026-06-18T00:00:00.000Z,0,1.822675994844758E-5
2026-06-14T00:00:00.000Z,0,2.9097792776155984E-5
2026-06-17T00:00:00.000Z,0,3.671177455544239E-5
2026-06-12T00:00:00.000Z,0,
2026-06-03T00:00:00.000Z,0,3.706047482410213E-5
2026-05-29T00:00:00.000Z,0,4.9880485676112585E-5
2026-06-02T00:00:00.000Z,0,5.3245767958287615E-5
2026-06-01T00:00:00.000Z,0,2.643454331519024E-5
2026-05-30T00:00:00.000Z,0,
2026-05-28T00:00:00.000Z,0,4.360891762189567E-5
2026-05-27T00:00:00.000Z,0,3.2743491829023696E-5
2026-05-31T00:00:00.000Z,0,2.7272646548226476E-5
2026-08-28T00:00:00.000Z,0,3.466635052973288E-5
2026-08-25T00:00:00.000Z,0,2.214264532085508E-5
2026-08-27T00:00:00.000Z,0,3.1396743906952906E-5
2026-08-24T00:00:00.000Z,0,3.7966003219480626E-5
2026-08-29T00:00:00.000Z,0,2.680207461480677E-5
2026-08-26T00:00:00.000Z,0,2.7021256755688228E-5
2026-08-30T00:00:00.000Z,0,2.6873744445765624E-5
2026-08-23T00:00:00.000Z,0,2.527717333578039E-5
2025-11-10T00:00:00.000Z,0,
2025-11-14T00:00:00.000Z,0,
2025-11-12T00:00:00.000Z,0,
2025-11-08T00:00:00.000Z,0,
2025-11-09T00:00:00.000Z,0,
2025-11-13T00:00:00.000Z,0,
2025-11-11T00:00:00.000Z,0,
2025-11-15T00:00:00.000Z,0,
2025-11-06T00:00:00.000Z,0,5.4236053983913735E-5
2025-11-03T00:00:00.000Z,0,
2025-11-05T00:00:00.000Z,0,
2025-10-31T00:00:00.000Z,0,9.176842856580455E-6
2025-11-02T00:00:00.000Z,0,7.085013294272358E-6
2025-11-04T00:00:00.000Z,0,
2025-11-07T00:00:00.000Z,0,3.111413995308491E-5
2025-11-01T00:00:00.000Z,0,
2026-02-25T00:00:00.000Z,0,
2026-02-23T00:00:00.000Z,0,
2026-02-24T00:00:00.000Z,0,
2026-02-26T00:00:00.000Z,0,
2026-02-22T00:00:00.000Z,0,
2026-02-21T00:00:00.000Z,0,
2026-02-20T00:00:00.000Z,0,3.662068866105983E-5
2026-02-27T00:00:00.000Z,0,4.183248893241398E-5
2026-06-06T00:00:00.000Z,0,
2026-06-11T00:00:00.000Z,0,3.187049878761172E-5
2026-06-05T00:00:00.000Z,0,4.48180489911465E-5
2026-06-07T00:00:00.000Z,0,3.389322682778584E-5
2026-06-10T00:00:00.000Z,0,3.5954906707047485E-5
2026-06-09T00:00:00.000Z,0,5.864306149305776E-5
2026-06-08T00:00:00.000Z,0,3.281791850895388E-5
2026-06-04T00:00:00.000Z,0,9.973234773497097E-5
2026-08-16T00:00:00.000Z,0,1.3033527352490637E-5
2026-08-21T00:00:00.000Z,0,2.1972969534544973E-5
2026-08-18T00:00:00.000Z,0,2.8246966849110322E-5
2026-08-15T00:00:00.000Z,0,2.610213778098114E-5
2026-08-19T00:00:00.000Z,0,1.857154620665824E-5
2026-08-22T00:00:00.000Z,0,1.0322517937311204E-5
2026-08-17T00:00:00.000Z,0,1.5921124941087328E-5
2026-08-20T00:00:00.000Z,0,1.766423463323008E-5
2025-12-19T00:00:00.000Z,0,
2025-12-23T00:00:00.000Z,0,3.995053339167498E-5
2025-12-18T00:00:00.000Z,0,
2025-12-25T00:00:00.000Z,0,
